ts,price_binance,funding_binance,price_okx,funding_okx,price_bitget,funding_bitget,price_gate,funding_gate,price_mexc,funding_mexc,price_htx,funding_htx,price_kucoin,funding_kucoin,price_bingx,funding_bingx,price_hyperliquid,funding_hyperliquid,price_coinbase,funding_coinbase
2026-05-22 16:00,76757.66,0.0000289100,76765.10,0.0000784947,76772.10,0.0001000000,76771.70,0.0000830000,76756.50,0.0000280000,76815.90,0.0001000000,76801.00,0.0000550000,76764.60,0.0001000000,76770.00,0.0000839792,76724.70,0.0000360000
2026-05-23 00:00,75507.40,0.0000178300,75508.70,0.0000228466,75513.80,0.0000250000,75513.30,0.0000760000,75507.50,0.0000170000,75569.10,0.0001000000,75541.50,0.0000910000,75504.90,0.0000410000,75500.00,0.0000613802,75475.00,0.0000710000
2026-05-23 08:00,74573.20,0.0000102500,74576.30,0.0000388651,74563.00,0.0000590000,74580.80,0.0000760000,74573.20,0.0000110000,74626.10,0.0001000000,74599.10,0.0000650000,74573.10,0.0000620000,74569.00,0.0000069740,74547.60,0.0000920000
2026-05-23 16:00,75490.25,0.0000744100,75482.70,0.0000040289,75478.00,-0.0000630000,75475.90,0.0000050000,75486.40,0.0000740000,75524.20,0.0001000000,75518.10,0.0000280000,75485.00,0.0000750000,75478.00,-0.0000661197,75460.20,0.0001110000
2026-05-24 00:00,76716.21,0.0000904400,76709.20,0.0000646006,76701.40,-0.0001020000,76703.10,-0.0000720000,76715.20,0.0000900000,76724.80,0.0001000000,76737.10,-0.0000050000,76713.50,-0.0001020000,76711.00,-0.0000143224,76646.70,0.0000680000
2026-05-24 08:00,76771.40,0.0000629000,76770.10,0.0000594269,76761.20,-0.0000900000,76770.00,-0.0000330000,76771.60,0.0000620000,76781.40,0.0001000000,76798.80,-0.0000410000,76771.10,-0.0000910000,76760.00,-0.0000103798,76702.10,-0.0000700000
2026-05-24 16:00,76343.80,0.0000626500,76340.40,0.0000437885,76342.90,0.0000140000,76344.40,0.0000280000,76343.70,0.0000620000,76366.10,0.0001000000,76370.10,-0.0000510000,76340.70,0.0000060000,76317.00,-0.0000877228,76275.10,-0.0000710000
2026-05-25 00:00,77023.70,0.0000654900,77030.00,0.0000232889,77030.00,0.0000170000,77028.90,0.0000390000,77031.10,0.0000660000,77055.60,0.0001000000,77054.40,0.0000270000,77024.20,0.0000090000,77015.00,-0.0000682434,76979.90,-0.0000140000
2026-05-25 08:00,77376.90,0.0000352700,77375.00,-0.0000101054,77362.30,-0.0000940000,77368.00,-0.0000240000,77374.90,0.0000330000,77371.30,0.0001000000,77400.00,-0.0000230000,77373.10,-0.0000960000,77365.00,-0.0000935396,77322.30,0.0000270000
2026-05-25 16:00,77587.30,0.0000142600,77591.60,0.0000059773,77585.10,-0.0000830000,77581.00,-0.0000370000,77587.40,0.0000130000,77598.40,0.0001000000,77620.10,-0.0000250000,77593.90,-0.0000840000,77589.00,-0.0000304715,77559.90,0.0000250000
2026-05-26 00:00,77281.71,0.0000805800,77283.40,0.0000524314,77280.10,-0.0000420000,77288.20,0.0000280000,77281.50,0.0000810000,77299.50,0.0001000000,77316.60,0.0000080000,77282.80,-0.0000430000,77281.00,-0.0000381206,77255.60,0.0000140000
2026-05-26 08:00,76689.53,0.0000385200,76684.00,0.0000201048,76683.30,0.0000130000,76683.40,0.0000410000,76685.00,0.0000380000,76715.30,0.0001000000,76715.60,0.0000020000,76689.80,-0.0000080000,76671.00,-0.0000941733,76633.20,0.0000240000
2026-05-26 16:00,76484.29,0.0000577600,76474.50,0.0000624817,76475.40,0.0000620000,76480.80,0.0000510000,76478.20,0.0000560000,76463.80,-0.0000152919,76504.80,-0.0000120000,76479.80,0.0000040000,76482.00,-0.0000263966,76416.60,0.0000230000
2026-05-27 00:00,75901.40,0.0001000000,75898.20,0.0000538321,75897.80,0.0000790000,75902.80,0.0000900000,75900.60,0.0001000000,75925.50,0.0001000000,75927.40,0.0000610000,75898.20,0.0000080000,75895.00,-0.0000016062,75839.40,0.0000230000
2026-05-27 08:00,75940.84,0.0000894800,75921.30,0.0000201365,75932.30,0.0000290000,75926.20,0.0000390000,75935.00,0.0000900000,75948.20,0.0001000000,75965.90,0.0000110000,75933.40,0.0000910000,75927.00,-0.0000499359,75851.70,0.0000320000
2026-05-27 16:00,75300.00,0.0000991400,75297.00,0.0001000000,75296.80,0.0000970000,75300.90,0.0001000000,75298.90,0.0000980000,75358.40,0.0001000000,75326.10,0.0000520000,75297.80,0.0001000000,75300.00,-0.0000065074,75225.10,0.0000250000
2026-05-28 00:00,74418.00,0.0001000000,74414.00,0.0000973472,74420.00,0.0001000000,74420.00,0.0001000000,74418.00,0.0001000000,74518.80,0.0001252086,74443.30,0.0000270000,74415.10,0.0001000000,74420.00,0.0000537426,74358.10,0.0001470000
2026-05-28 08:00,73467.37,0.0000501100,73457.40,0.0000901432,73460.10,0.0000970000,73461.80,0.0001000000,73462.40,0.0000500000,73511.40,0.0001517975,73490.70,0.0000910000,73460.00,0.0000990000,73462.00,0.0000392333,73397.20,0.0001570000
2026-05-28 16:00,72906.82,0.0001000000,72898.30,0.0001000000,72902.30,0.0000910000,72903.50,0.0000970000,72899.00,0.0001000000,72985.80,0.0001000000,72934.40,0.0000790000,72903.30,0.0001000000,72925.00,0.0000845726,72825.10,0.0001310000
2026-05-29 00:00,73591.40,0.0001000000,73586.10,0.0000822614,73590.10,0.0000200000,73587.70,0.0000500000,73591.50,0.0001000000,73666.80,0.0001000000,73630.00,0.0001160000,73593.30,0.0001000000,73588.00,0.0001000000,73542.90,0.0001200000
2026-05-29 08:00,73488.10,0.0000539100,73480.10,0.0000690250,73485.80,0.0000100000,73488.30,0.0000420000,73485.90,0.0000550000,73564.10,0.0001000000,73525.10,0.0001250000,73484.50,0.0000710000,73493.00,0.0000806648,73440.90,0.0000970000
2026-05-29 16:00,73779.04,0.0000670200,73764.70,0.0000504528,73768.00,0.0000550000,73766.70,0.0000390000,73778.00,0.0000660000,73862.00,0.0001000000,73807.40,0.0000830000,73773.60,0.0000660000,73777.00,0.0000466778,73710.00,0.0000810000
